team1,team2,venue,toss_winner,toss_decision,team1_wins,team1_losses,team2_wins,team2_losses,h2h_team1_wins,h2h_team2_wins,team1_form,team2_form,home_team,winner
Chennai Super Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,63,37,48,52,6,4,1,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,53,47,68,32,6,4,2,3,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,57,43,71,29,7,3,3,2,Sunrisers Hyderabad,Lucknow Super Giants
Kolkata Knight Riders,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,46,54,75,25,7,3,1,1,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,M. A. Chidambaram Stadium,Gujarat Titans,bat,72,28,65,35,3,7,5,4,Gujarat Titans,Gujarat Titans
Royal Challengers Bangalore,Gujarat Titans,Rajiv Gandhi International Stadium,Gujarat Titans,field,79,21,41,59,4,6,1,5,Royal Challengers Bangalore,Gujarat Titans
Mumbai Indians,Delhi Capitals,Rajiv Gandhi International Stadium,Delhi Capitals,field,58,42,73,27,6,4,5,5,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,bat,44,56,50,50,5,5,2,5,Chennai Super Kings,Chennai Super Kings
Lucknow Super Giants,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,74,26,53,47,4,6,4,4,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,M. A. Chidambaram Stadium,Rajasthan Royals,field,60,40,61,39,3,7,4,2,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Lucknow Super Giants,field,47,53,50,50,6,4,5,4,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,62,38,46,54,3,7,1,2,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,47,53,60,40,7,3,1,1,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Rajasthan Royals,field,79,21,62,38,7,3,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,field,49,51,62,38,6,4,1,3,Mumbai Indians,Sunrisers Hyderabad
Punjab Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,Punjab Kings,bat,55,45,40,60,6,4,2,5,Lucknow Super Giants,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,M. A. Chidambaram Stadium,Mumbai Indians,field,41,59,50,50,6,4,4,2,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Gujarat Titans,bat,49,51,52,48,3,7,5,2,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,60,40,66,34,7,3,3,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,67,33,74,26,7,3,2,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,54,46,77,23,7,3,5,3,Chennai Super Kings,Royal Challengers Bangalore
Delhi Capitals,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,73,27,53,47,6,4,5,1,Gujarat Titans,Delhi Capitals
Gujarat Titans,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,78,22,65,35,3,7,4,1,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,65,35,55,45,3,7,5,3,Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Lucknow Super Giants,Rajiv Gandhi International Stadium,Gujarat Titans,field,60,40,43,57,6,4,2,5,Lucknow Super Giants,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,75,25,59,41,6,4,3,5,Kolkata Knight Riders,Punjab Kings
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,60,40,47,53,3,7,4,1,Royal Challengers Bangalore,Mumbai Indians
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,68,32,75,25,4,6,4,2,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,60,40,57,43,3,7,5,3,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,62,38,45,55,5,5,5,5,Chennai Super Kings,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,bat,41,59,75,25,5,5,1,5,Mumbai Indians,Mumbai Indians
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,48,52,43,57,5,5,5,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,74,26,61,39,5,5,3,5,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium,Rajasthan Royals,bat,57,43,47,53,4,6,4,2,Lucknow Super Giants,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,bat,59,41,64,36,6,4,4,2,Kolkata Knight Riders,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,77,23,51,49,4,6,2,2,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,77,23,73,27,6,4,2,5,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,43,57,49,51,3,7,4,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,74,26,70,30,6,4,1,5,Mumbai Indians,Chennai Super Kings
Punjab Kings,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,field,67,33,65,35,5,5,3,3,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,49,51,73,27,5,5,3,5,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,Delhi Capitals,field,62,38,66,34,4,6,4,1,Punjab Kings,Delhi Capitals
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,69,31,70,30,4,6,2,3,Sunrisers Hyderabad,Gujarat Titans
Gujarat Titans,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,bat,67,33,78,22,7,3,4,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Gujarat Titans,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,58,42,48,52,7,3,5,2,Sunrisers Hyderabad,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,66,34,75,25,5,5,2,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,49,51,44,56,3,7,2,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,60,40,65,35,6,4,2,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,Punjab Kings,field,77,23,64,36,5,5,1,5,Sunrisers Hyderabad,Punjab Kings
Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,Royal Challengers Bangalore,field,65,35,49,51,7,3,4,4,Gujarat Titans,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Chennai Super Kings,bat,63,37,52,48,4,6,5,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Lucknow Super Giants,Wankhede Stadium,Punjab Kings,bat,66,34,40,60,4,6,2,4,Lucknow Super Giants,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,59,41,78,22,6,4,1,1,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,63,37,67,33,6,4,3,1,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,57,43,73,27,3,7,2,2,Sunrisers Hyderabad,Rajasthan Royals
Punjab Kings,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,75,25,71,29,6,4,5,1,Kolkata Knight Riders,Punjab Kings
Chennai Super Kings,Delhi Capitals,Rajiv Gandhi International Stadium,Delhi Capitals,field,75,25,57,43,4,6,1,2,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Wankhede Stadium,Gujarat Titans,field,76,24,41,59,6,4,3,1,Gujarat Titans,Gujarat Titans
Lucknow Super Giants,Rajasthan Royals,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,46,54,53,47,6,4,3,5,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,53,47,64,36,4,6,5,5,Punjab Kings,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,59,41,64,36,3,7,5,4,Mumbai Indians,Mumbai Indians
Gujarat Titans,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,42,58,69,31,4,6,4,5,Gujarat Titans,Lucknow Super Giants
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,62,38,48,52,4,6,5,1,Gujarat Titans,Gujarat Titans
Gujarat Titans,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,69,31,46,54,5,5,5,3,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,field,60,40,75,25,6,4,4,5,Punjab Kings,Punjab Kings
Gujarat Titans,Rajasthan Royals,M. Chinnaswamy Stadium,Gujarat Titans,bat,47,53,58,42,5,5,2,3,Rajasthan Royals,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Sawai Mansingh Stadium,Kolkata Knight Riders,field,71,29,51,49,7,3,2,4,Chennai Super Kings,Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bat,72,28,65,35,3,7,1,2,Kolkata Knight Riders,Gujarat Titans
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,53,47,61,39,4,6,4,3,Punjab Kings,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,41,59,64,36,7,3,2,3,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,44,56,42,58,5,5,1,4,Kolkata Knight Riders,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,74,26,54,46,6,4,2,1,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,40,60,42,58,4,6,2,1,Kolkata Knight Riders,Kolkata Knight Riders
Punjab Kings,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,51,49,41,59,7,3,1,5,Punjab Kings,Punjab Kings
Delhi Capitals,Punjab Kings,Eden Gardens,Punjab Kings,bat,76,24,60,40,4,6,5,4,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Rajasthan Royals,bat,72,28,40,60,5,5,5,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,Kolkata Knight Riders,field,70,30,44,56,3,7,2,4,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,bat,71,29,54,46,6,4,1,5,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Punjab Kings,Eden Gardens,Punjab Kings,field,57,43,68,32,7,3,1,1,Lucknow Super Giants,Lucknow Super Giants
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Lucknow Super Giants,bat,79,21,57,43,3,7,1,5,Lucknow Super Giants,Gujarat Titans
Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,bat,55,45,46,54,5,5,2,4,Mumbai Indians,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,42,58,59,41,3,7,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,79,21,75,25,4,6,5,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Delhi Capitals,field,67,33,74,26,5,5,3,1,Delhi Capitals,Delhi Capitals
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,61,39,77,23,5,5,2,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Lucknow Super Giants,field,51,49,42,58,7,3,4,3,Kolkata Knight Riders,Lucknow Super Giants
Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Lucknow Super Giants,field,67,33,53,47,3,7,1,3,Lucknow Super Giants,Mumbai Indians
Delhi Capitals,Punjab Kings,Eden Gardens,Punjab Kings,field,51,49,41,59,4,6,5,1,Punjab Kings,Delhi Capitals
Delhi Capitals,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,79,21,54,46,5,5,1,2,Delhi Capitals,Rajasthan Royals
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,63,37,47,53,4,6,5,5,Gujarat Titans,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,78,22,78,22,6,4,5,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,58,42,50,50,5,5,5,2,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,Delhi Capitals,bat,54,46,55,45,5,5,2,4,Delhi Capitals,Delhi Capitals
Delhi Capitals,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,field,45,55,79,21,6,4,5,3,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,58,42,71,29,5,5,1,3,Lucknow Super Giants,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,M. A. Chidambaram Stadium,Punjab Kings,bat,59,41,64,36,5,5,4,2,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,56,44,72,28,6,4,5,1,Kolkata Knight Riders,Gujarat Titans
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals,bat,47,53,49,51,3,7,1,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Rajasthan Royals,field,79,21,40,60,6,4,5,4,Chennai Super Kings,Rajasthan Royals
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,78,22,51,49,5,5,2,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,66,34,54,46,3,7,4,2,Punjab Kings,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,bat,64,36,74,26,5,5,5,5,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,62,38,68,32,4,6,4,1,Delhi Capitals,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,51,49,71,29,3,7,2,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,61,39,70,30,5,5,2,1,Royal Challengers Bangalore,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,59,41,53,47,7,3,2,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,64,36,42,58,5,5,4,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,Eden Gardens,Mumbai Indians,field,62,38,71,29,4,6,3,3,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,Chennai Super Kings,bat,58,42,45,55,4,6,4,3,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,64,36,46,54,4,6,1,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,78,22,63,37,3,7,4,2,Chennai Super Kings,Lucknow Super Giants
Rajasthan Royals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Rajasthan Royals,field,78,22,52,48,7,3,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Kolkata Knight Riders,field,68,32,78,22,4,6,3,4,Sunrisers Hyderabad,Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,Kolkata Knight Riders,bat,59,41,40,60,6,4,3,2,Sunrisers Hyderabad,Kolkata Knight Riders
Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,Royal Challengers Bangalore,field,75,25,45,55,6,4,5,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,59,41,68,32,6,4,3,1,Lucknow Super Giants,Royal Challengers Bangalore
Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata Knight Riders,bat,69,31,74,26,6,4,4,4,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,75,25,63,37,6,4,3,3,Rajasthan Royals,Rajasthan Royals
Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,40,60,75,25,4,6,4,3,Mumbai Indians,Mumbai Indians
Gujarat Titans,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,70,30,49,51,6,4,2,3,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,63,37,41,59,6,4,2,3,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,field,51,49,61,39,6,4,2,1,Punjab Kings,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,40,60,50,50,5,5,3,3,Mumbai Indians,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,71,29,65,35,5,5,1,5,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,Gujarat Titans,bat,58,42,75,25,6,4,5,4,Gujarat Titans,Gujarat Titans
Chennai Super Kings,Gujarat Titans,M. Chinnaswamy Stadium,Chennai Super Kings,bat,76,24,56,44,4,6,5,5,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,63,37,41,59,3,7,2,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Sunrisers Hyderabad,bat,61,39,62,38,6,4,1,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,54,46,47,53,4,6,4,5,Lucknow Super Giants,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,M. A. Chidambaram Stadium,Mumbai Indians,field,40,60,78,22,7,3,1,4,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Kolkata Knight Riders,field,54,46,67,33,7,3,3,1,Kolkata Knight Riders,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Punjab Kings,bat,50,50,59,41,3,7,2,5,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,41,59,69,31,4,6,2,4,Mumbai Indians,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Eden Gardens,Mumbai Indians,bat,59,41,59,41,7,3,2,1,Mumbai Indians,Mumbai Indians
Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium,Mumbai Indians,bat,45,55,68,32,5,5,1,3,Mumbai Indians,Punjab Kings
Sunrisers Hyderabad,Punjab Kings,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,73,27,47,53,5,5,1,2,Punjab Kings,Sunrisers Hyderabad
Delhi Capitals,Lucknow Super Giants,Sawai Mansingh Stadium,Delhi Capitals,field,77,23,51,49,7,3,1,3,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans,field,57,43,69,31,3,7,5,3,Rajasthan Royals,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,71,29,50,50,6,4,3,5,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Chennai Super Kings,field,51,49,48,52,7,3,2,2,Lucknow Super Giants,Lucknow Super Giants
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,48,52,72,28,7,3,4,1,Delhi Capitals,Delhi Capitals
Punjab Kings,Rajasthan Royals,Eden Gardens,Punjab Kings,bat,72,28,69,31,5,5,4,2,Rajasthan Royals,Punjab Kings
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,63,37,58,42,4,6,4,1,Gujarat Titans,Gujarat Titans
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,77,23,53,47,6,4,2,1,Royal Challengers Bangalore,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,74,26,76,24,6,4,4,5,Punjab Kings,Punjab Kings
Lucknow Super Giants,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bat,77,23,75,25,3,7,2,3,Lucknow Super Giants,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,51,49,57,43,6,4,5,4,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,Rajasthan Royals,bat,47,53,44,56,7,3,1,3,Lucknow Super Giants,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,55,45,53,47,7,3,3,2,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,72,28,65,35,3,7,4,5,Gujarat Titans,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,76,24,68,32,4,6,1,4,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,42,58,54,46,7,3,4,5,Rajasthan Royals,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi Capitals,bat,57,43,46,54,4,6,2,2,Delhi Capitals,Delhi Capitals
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,field,45,55,60,40,3,7,4,3,Lucknow Super Giants,Lucknow Super Giants
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,48,52,71,29,5,5,5,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Mumbai Indians,field,57,43,75,25,4,6,5,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,bat,66,34,64,36,4,6,1,5,Sunrisers Hyderabad,Punjab Kings
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,53,47,58,42,7,3,3,4,Mumbai Indians,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,66,34,54,46,7,3,3,4,Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Gujarat Titans,field,64,36,54,46,4,6,4,2,Gujarat Titans,Gujarat Titans
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Delhi Capitals,field,56,44,75,25,4,6,5,5,Delhi Capitals,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi International Stadium,Chennai Super Kings,field,44,56,75,25,4,6,2,2,Mumbai Indians,Chennai Super Kings
